 education, marital-status, occupation, relationship, sex, native-country,age, education-num, capital-gain, capital-loss, hours-per-week, income
 Bachelors, Never-married, Adm-clerical, Not-in-family, Male, United-States,39,13,2174,0,40, <=50K
 Bachelors, Married-civ-spouse, Exec-managerial, Husband, Male, United-States,50,13,0,0,13, <=50K
 HS-grad, Divorced, Handlers-cleaners, Not-in-family, Male, United-States,38,9,0,0,40, <=50K
 11th, Married-civ-spouse, Handlers-cleaners, Husband, Male, United-States,53,7,0,0,40, <=50K
 Bachelors, Married-civ-spouse, Prof-specialty, Wife, Female, Cuba,28,13,0,0,40, <=50K
 Masters, Married-civ-spouse, Exec-managerial, Wife, Female, United-States,37,14,0,0,40, <=50K
 9th, Married-spouse-absent, Other-service, Not-in-family, Female, Jamaica,49,5,0,0,16, <=50K
 HS-grad, Married-civ-spouse, Exec-managerial, Husband, Male, United-States,52,9,0,0,45, >50K
 Masters, Never-married, Prof-specialty, Not-in-family, Female, United-States,31,14,14084,0,50, >50K
 Bachelors, Married-civ-spouse, Exec-managerial, Husband, Male, United-States,42,13,5178,0,40, >50K
 Some-college, Married-civ-spouse, Exec-managerial, Husband, Male, United-States,37,10,0,0,80, >50K
 Bachelors, Married-civ-spouse, Prof-specialty, Husband, Male, India,30,13,0,0,40, >50K
 Bachelors, Never-married, Adm-clerical, Own-child, Female, United-States,23,13,0,0,30, <=50K
 Assoc-acdm, Never-married, Sales, Not-in-family, Male, United-States,32,12,0,0,50, <=50K
 Assoc-voc, Married-civ-spouse, Craft-repair, Husband, Male, ?,40,11,0,0,40, >50K
 7th-8th, Married-civ-spouse, Transport-moving, Husband, Male, Mexico,34,4,0,0,45, <=50K
 HS-grad, Never-married, Farming-fishing, Own-child, Male, United-States,25,9,0,0,35, <=50K
 HS-grad, Never-married, Machine-op-inspct, Unmarried, Male, United-States,32,9,0,0,40, <=50K
 11th, Married-civ-spouse, Sales, Husband, Male, United-States,38,7,0,0,50, <=50K
 Masters, Divorced, Exec-managerial, Unmarried, Female, United-States,43,14,0,0,45, >50K
 Doctorate, Married-civ-spouse, Prof-specialty, Husband, Male, United-States,40,16,0,0,60, >50K
 HS-grad, Separated, Other-service, Unmarried, Female, United-States,54,9,0,0,20, <=50K
 9th, Married-civ-spouse, Farming-fishing, Husband, Male, United-States,35,5,0,0,40, <=50K
 11th, Married-civ-spouse, Transport-moving, Husband, Male, United-States,43,7,0,2042,40, <=50K
 HS-grad, Divorced, Tech-support, Unmarried, Female, United-States,59,9,0,0,40, <=50K
 Bachelors, Married-civ-spouse, Tech-support, Husband, Male, United-States,56,13,0,0,40, >50K
 HS-grad, Never-married, Craft-repair, Own-child, Male, United-States,19,9,0,0,40, <=50K
 Some-college, Married-civ-spouse, ?, Husband, Male, South,54,10,0,0,60, >50K
 HS-grad, Divorced, Exec-managerial, Not-in-family, Male, United-States,39,9,0,0,80, <=50K
 HS-grad, Married-civ-spouse, Craft-repair, Husband, Male, United-States,49,9,0,0,40, <=50K
 Assoc-acdm, Never-married, Protective-serv, Not-in-family, Male, United-States,23,12,0,0,52, <=50K
 Some-college, Never-married, Sales, Own-child, Male, United-States,20,10,0,0,44, <=50K
 Bachelors, Divorced, Exec-managerial, Own-child, Male, United-States,45,13,0,1408,40, <=50K
 Some-college, Married-civ-spouse, Adm-clerical, Own-child, Male, United-States,30,10,0,0,40, <=50K
 Some-college, Married-civ-spouse, Other-service, Husband, Male, United-States,22,10,0,0,15, <=50K
 11th, Never-married, Machine-op-inspct, Unmarried, Male, Puerto-Rico,48,7,0,0,40, <=50K
 Some-college, Never-married, Machine-op-inspct, Own-child, Male, United-States,21,10,0,0,40, <=50K
 HS-grad, Married-AF-spouse, Adm-clerical, Wife, Female, United-States,19,9,0,0,25, <=50K
 Some-college, Married-civ-spouse, Sales, Husband, Male, ?,31,10,0,0,38, >50K
 Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, Male, United-States,48,12,0,0,40, <=50K
 9th, Married-civ-spouse, Machine-op-inspct, Husband, Male, United-States,31,5,0,0,43, <=50K
 Bachelors, Married-civ-spouse, Prof-specialty, Husband, Male, United-States,53,13,0,0,40, <=50K
 Bachelors, Married-civ-spouse, Tech-support, Husband, Male, United-States,24,13,0,0,50, <=50K
 HS-grad, Separated, Adm-clerical, Unmarried, Female, United-States,49,9,0,0,40, <=50K
 HS-grad, Never-married, Handlers-cleaners, Not-in-family, Male, United-States,25,9,0,0,35, <=50K
 Bachelors, Married-civ-spouse, Prof-specialty, Husband, Male, United-States,57,13,0,0,40, >50K
 HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Male, United-States,53,9,0,0,38, <=50K
 Masters, Divorced, Exec-managerial, Unmarried, Female, United-States,44,14,0,0,40, <=50K
 Assoc-voc, Married-civ-spouse, Craft-repair, Husband, Male, United-States,41,11,0,0,40, <=50K
 Assoc-voc, Never-married, Prof-specialty, Not-in-family, Male, United-States,29,11,0,0,43, <=50K
 Some-college, Married-civ-spouse, Exec-managerial, Wife, Female, United-States,25,10,0,0,40, <=50K
 HS-grad, Never-married, Other-service, Own-child, Female, ?,18,9,0,0,30, <=50K
 Prof-school, Married-civ-spouse, Prof-specialty, Wife, Female, Honduras,47,15,0,1902,60, >50K
 Bachelors, Divorced, Exec-managerial, Not-in-family, Male, United-States,50,13,0,0,55, >50K
